,Year,Engine,Seating,Price
337,2021,1500.0,7.0,4250000.0
338,2021,1000.0,5.0,2395000.0
339,2022,1500.0,7.0,4650000.0
340,2021,1500.0,7.0,4650000.0
341,2020,3500.0,11.0,8000000.0
342,2006,800.0,5.0,780000.0
343,2017,1500.0,7.0,3700000.0
344,2014,1300.0,5.0,2600000.0
345,2022,1000.0,5.0,2725000.0
346,2006,1600.0,5.0,1250000.0
347,2015,1500.0,5.0,3700000.0
348,2010,1800.0,5.0,2895000.0
349,2022,660.0,4.0,2180000.0
350,2019,2000.0,5.0,5500000.0
352,2022,660.0,4.0,2520000.0
353,2017,3000.0,5.0,6500000.0
354,2020,1800.0,5.0,4950000.0
355,2003,3000.0,5.0,3300000.0
357,2019,1800.0,5.0,6500000.0
358,2022,1500.0,7.0,4300000.0
359,2021,1000.0,5.0,2375000.0
363,2021,1600.0,5.0,5000000.0
364,2010,1500.0,5.0,2350000.0
365,2021,1500.0,7.0,5050000.0
366,2016,1000.0,5.0,1550000.0
367,2020,1000.0,8.0,1590000.0
368,2021,1000.0,5.0,2400000.0
369,2016,1500.0,5.0,4300000.0
370,2017,1800.0,5.0,3790000.0
371,2014,1500.0,5.0,3970000.0000000005
372,2022,1500.0,7.0,4450000.0
373,2017,1500.0,5.0,7500000.0
374,2020,660.0,4.0,3300000.0
375,2002,1600.0,5.0,1450000.0
376,2016,660.0,4.0,2200000.0
379,2016,1300.0,5.0,2600000.0
380,2021,1600.0,5.0,5050000.0
382,2019,1500.0,5.0,4200000.0
384,2018,660.0,4.0,1750000.0
385,2017,660.0,4.0,1725000.0
386,2018,660.0,4.0,1725000.0
387,2022,1200.0,5.0,3825000.0
390,2014,1500.0,5.0,3890000.0
391,2021,2000.0,5.0,6300000.0
392,2007,1500.0,5.0,1600000.0
394,2002,2000.0,5.0,2200000.0
395,2021,1500.0,5.0,6175000.0
397,2010,800.0,4.0,700000.0
398,2016,1800.0,5.0,2800000.0
399,2012,2400.0,5.0,3200000.0
400,2021,1800.0,5.0,5790000.0
401,2019,1000.0,5.0,2125000.0
402,2014,1500.0,5.0,2900000.0
403,2021,1500.0,5.0,3400000.0
404,2020,1000.0,5.0,2150000.0
405,2018,1800.0,5.0,4290000.0
406,2021,1500.0,7.0,5200000.0
407,2004,1000.0,5.0,500000.0
408,2006,1300.0,5.0,1950000.0
409,2015,1300.0,5.0,2575000.0
410,2019,1000.0,5.0,2100000.0
411,2022,1800.0,5.0,5450000.0
412,2017,1300.0,5.0,2750000.0
413,1995,1500.0,5.0,869999.9999999999
414,2018,1500.0,7.0,3590000.0
415,2016,2500.0,5.0,7250000.0
416,2014,660.0,5.0,1780000.0
419,2015,660.0,4.0,2060000.0000000002
420,1994,1300.0,5.0,530000.0
422,2014,1000.0,5.0,2600000.0
423,2022,1500.0,5.0,6900000.0
425,2007,800.0,4.0,665000.0
426,2021,1800.0,5.0,5500000.0
427,2018,1800.0,5.0,4275000.0
428,2022,1200.0,5.0,4150000.0
429,2007,1800.0,5.0,1850000.0
430,2021,1000.0,5.0,2415000.0
431,2007,800.0,5.0,985000.0
435,2018,1800.0,5.0,4800000.0
436,2012,1000.0,5.0,1280000.0
437,2001,3000.0,5.0,3550000.0
438,2021,1000.0,8.0,2200000.0
439,2012,660.0,4.0,1490000.0
440,2015,1000.0,5.0,1810000.0000000002
441,2021,1500.0,5.0,6000000.0
442,2010,1800.0,7.0,4000000.0
443,2021,660.0,4.0,2050000.0
444,2022,1300.0,5.0,2700000.0
446,1996,1000.0,5.0,525000.0
447,2022,1000.0,8.0,2820000.0
448,2018,1800.0,5.0,4250000.0
449,2018,796.0,4.0,1175000.0
452,2015,1300.0,5.0,2860000.0
453,2018,796.0,4.0,1235000.0
454,2006,1300.0,7.0,1600000.0
455,2018,1500.0,7.0,3750000.0
456,2018,1600.0,5.0,3500000.0
457,2018,1500.0,5.0,2825000.0
458,2016,1000.0,5.0,1689999.9999999998
459,2022,1200.0,5.0,3925000.0
460,2017,1800.0,5.0,4100000.0
461,2002,1500.0,5.0,1350000.0
462,2017,1300.0,5.0,3025000.0
463,2015,1000.0,5.0,2500000.0
465,2019,660.0,4.0,2050000.0
466,2015,660.0,4.0,1800000.0
467,2022,1600.0,5.0,4690000.0
468,2018,1500.0,7.0,3535000.0
469,2018,1000.0,5.0,2250000.0
470,2021,1300.0,5.0,3200000.0
471,2019,660.0,5.0,3350000.0
472,2021,1500.0,5.0,7100000.0
473,2018,1500.0,5.0,5290000.0
474,2017,1300.0,5.0,2650000.0
475,2018,660.0,4.0,2950000.0
476,2022,660.0,4.0,2300000.0
477,2004,1800.0,5.0,3100000.0
478,2013,660.0,5.0,2400000.0
479,2005,800.0,4.0,590000.0
480,2022,2000.0,5.0,7150000.0
481,2014,1000.0,5.0,2400000.0
482,2010,1800.0,5.0,2000000.0
483,2020,1800.0,5.0,4850000.0
484,2014,1300.0,5.0,2250000.0
485,2017,1300.0,5.0,3250000.0
486,2014,1800.0,5.0,2790000.0
488,2017,1300.0,5.0,2775000.0
489,2015,1000.0,5.0,1095000.0
491,2017,1500.0,7.0,3850000.0
493,2019,1500.0,5.0,5350000.0
494,2000,1600.0,6.0,1175000.0
495,2016,1000.0,5.0,1450000.0
496,2022,660.0,4.0,2100000.0
497,2011,1300.0,5.0,2350000.0
498,2014,1500.0,5.0,2695000.0
499,2004,1700.0,5.0,1190000.0
500,2017,1500.0,5.0,2775000.0
502,2008,660.0,4.0,1380000.0
503,2002,1300.0,5.0,800000.0
504,2008,3200.0,7.0,7700000.0
505,2022,1500.0,5.0,4150000.0
506,2011,1300.0,5.0,1985000.0000000002
507,2007,1500.0,5.0,2100000.0
508,2019,1500.0,5.0,5600000.0
510,2022,1600.0,5.0,5450000.0
511,2021,2500.0,5.0,8450000.0
512,2020,1500.0,7.0,4300000.0
513,2022,1800.0,5.0,5590000.0
514,2022,1800.0,5.0,6050000.0
515,2019,800.0,5.0,1330000.0
516,2010,1300.0,5.0,1700000.0
517,2014,796.0,4.0,869999.9999999999
519,2007,800.0,4.0,650000.0
521,2007,1000.0,5.0,850000.0
522,2018,1800.0,5.0,4225000.0
523,2022,1500.0,7.0,4900000.0
524,2009,1000.0,5.0,1789999.9999999998
525,2021,660.0,4.0,2085000.0000000002
526,2022,1300.0,5.0,2999000.0
527,2018,1300.0,5.0,3550000.0
528,2022,1000.0,5.0,2690000.0
529,2016,1800.0,5.0,3395000.0000000005
530,2022,1600.0,7.0,8550000.0
531,1988,800.0,5.0,330000.0
532,2005,1500.0,5.0,1550000.0
533,2006,1500.0,5.0,2600000.0
534,2022,1500.0,5.0,7850000.0
535,2007,1500.0,5.0,2750000.0
536,2013,1300.0,5.0,2100000.0
538,2009,1800.0,5.0,3120000.0
539,2015,1800.0,5.0,4990000.0
540,2016,1500.0,5.0,5250000.0
541,2022,1500.0,5.0,7770000.0
542,2012,1000.0,5.0,1325000.0
543,2005,1000.0,5.0,890000.0
544,2019,1000.0,5.0,3290000.0
545,2017,1500.0,5.0,5300000.0
546,2018,1000.0,5.0,3150000.0
547,2022,1000.0,5.0,2900000.0
548,2014,1300.0,5.0,2250000.0
549,2003,1600.0,6.0,1340000.0
551,1985,2800.0,5.0,1200000.0
552,2015,796.0,4.0,850000.0
553,2022,660.0,4.0,2200000.0
556,1993,1300.0,5.0,550000.0
557,2005,1000.0,5.0,1570000.0
558,2007,1300.0,7.0,1335000.0
559,2021,1000.0,5.0,2220000.0
560,2003,2400.0,5.0,1850000.0
561,2020,1300.0,5.0,3240000.0
562,1998,2700.0,7.0,4600000.0
563,2015,800.0,5.0,1000000.0
564,2015,1000.0,5.0,1575000.0
565,2016,2700.0,7.0,7800000.0
566,2019,1500.0,7.0,4300000.0
567,2008,2400.0,5.0,3500000.0
568,2016,1500.0,6.0,4700000.0
569,2007,1300.0,4.0,1030000.0000000001
570,2016,1300.0,5.0,3275000.0
571,2021,1000.0,5.0,2580000.0
572,2022,1300.0,5.0,4100000.0
573,2004,1500.0,5.0,1650000.0
574,2002,4200.0,7.0,8000000.0
575,2001,1300.0,5.0,1100000.0
576,2019,1800.0,5.0,4300000.0
577,2004,1500.0,5.0,1250000.0
578,2007,1000.0,5.0,830000.0000000001
579,2021,1000.0,5.0,2650000.0
580,2020,1800.0,5.0,4950000.0
581,2015,796.0,4.0,1050000.0
582,2022,1500.0,5.0,5300000.0
583,2021,1500.0,7.0,4350000.0
584,2004,1300.0,5.0,1600000.0
585,2016,1500.0,5.0,4800000.0
586,2020,1300.0,5.0,3145000.0
589,2008,1000.0,5.0,746000.0
591,2013,796.0,4.0,800000.0
592,2021,2000.0,5.0,5700000.0
593,2022,660.0,4.0,2465000.0
594,2001,1500.0,5.0,1320000.0
595,2015,1000.0,5.0,1500000.0
596,2018,1300.0,5.0,2990000.0
598,2022,1600.0,5.0,5400000.0
599,2017,1500.0,7.0,3150000.0
600,2021,1600.0,5.0,4325000.0
601,2005,1600.0,6.0,1430000.0
602,2011,1300.0,5.0,1830000.0
603,2011,1300.0,5.0,1900000.0
604,2022,660.0,4.0,2120000.0
605,2018,1300.0,5.0,1290000.0
606,2019,1500.0,5.0,6700000.0
607,2022,1500.0,5.0,3390000.0
608,2022,1600.0,5.0,5100000.0
609,2020,1000.0,5.0,2440000.0
610,2009,1800.0,5.0,1575000.0
611,2019,1800.0,5.0,7200000.0
612,2019,1000.0,4.0,4000000.0
613,2021,1000.0,5.0,5200000.0
614,2011,1800.0,5.0,2200000.0
615,2019,1800.0,5.0,4450000.0
616,2017,1800.0,5.0,5900000.0
617,2018,1500.0,5.0,5000000.0
618,2005,3000.0,5.0,6000000.0
619,2013,1800.0,5.0,3650000.0
620,2020,1000.0,5.0,2600000.0
622,2007,2200.0,6.0,6500000.0
624,2005,1600.0,6.0,1370000.0
625,2016,1500.0,5.0,3685000.0
626,2007,1500.0,5.0,1500000.0
627,2021,1000.0,5.0,2575000.0
628,2004,1300.0,7.0,1390000.0
629,2017,1500.0,5.0,6000000.0
630,2018,796.0,4.0,1180000.0
631,2020,1500.0,5.0,7500000.0
632,2014,1800.0,5.0,3485000.0
633,2022,660.0,4.0,2500000.0
634,2015,1500.0,5.0,4350000.0
